breed_group,breeds,links
herding,australian cattle dog,https://www.akc.org/dog-breeds/australian-cattle-dog/
herding,australian shepherd,https://www.akc.org/dog-breeds/australian-shepherd/
herding,bearded collie,https://www.akc.org/dog-breeds/bearded-collie/
herding,beauceron,https://www.akc.org/dog-breeds/beauceron/
herding,belgian laekenois,https://www.akc.org/dog-breeds/belgian-laekenois/
herding,belgian malinois,https://www.akc.org/dog-breeds/belgian-malinois/
herding,belgian sheepdog,https://www.akc.org/dog-breeds/belgian-sheepdog/
herding,belgian tervuren,https://www.akc.org/dog-breeds/belgian-tervuren/
herding,bergamasco,https://www.akc.org/dog-breeds/bergamasco-sheepdog/
herding,berger picard,https://www.akc.org/dog-breeds/berger-picard/
herding,border collie,https://www.akc.org/dog-breeds/border-collie/
herding,bouvier des flandres,https://www.akc.org/dog-breeds/bouvier-des-flandres/
herding,briard,https://www.akc.org/dog-breeds/briard/
herding,canaan dog,https://www.akc.org/dog-breeds/canaan-dog/
herding,cardigan welsh corgi,https://www.akc.org/dog-breeds/cardigan-welsh-corgi/
herding,collie,https://www.akc.org/dog-breeds/collie/
herding,entlebucher mountain dog,https://www.akc.org/dog-breeds/entlebucher-mountain-dog/
herding,finnish lapphund,https://www.akc.org/dog-breeds/finnish-lapphund/
herding,german shepherd dog,https://www.akc.org/dog-breeds/german-shepherd-dog/
herding,icelandic sheepdog,https://www.akc.org/dog-breeds/icelandic-sheepdog/
herding,lancashire heeler,https://www.akc.org/dog-breeds/lancashire-heeler/
herding,miniature american shepherd,https://www.akc.org/dog-breeds/miniature-american-shepherd/
herding,mudi,https://www.akc.org/dog-breeds/mudi/
herding,norwegian buhund,https://www.akc.org/dog-breeds/norwegian-buhund/
herding,old english sheepdog,https://www.akc.org/dog-breeds/old-english-sheepdog/
herding,pembroke welsh corgi,https://www.akc.org/dog-breeds/pembroke-welsh-corgi/
herding,polish lowland sheepdog,https://www.akc.org/dog-breeds/polish-lowland-sheepdog/
herding,puli,https://www.akc.org/dog-breeds/puli/
herding,pumi,https://www.akc.org/dog-breeds/pumi/
herding,pyrenean shepherd,https://www.akc.org/dog-breeds/pyrenean-shepherd/
herding,shetland sheepdog,https://www.akc.org/dog-breeds/shetland-sheepdog/
herding,spanish water dog,https://www.akc.org/dog-breeds/spanish-water-dog/
herding,swedish vallhund,https://www.akc.org/dog-breeds/swedish-vallhund/
hound,afghan hound,https://www.akc.org/dog-breeds/afghan-hound/
hound,american english coonhound,https://www.akc.org/dog-breeds/american-english-coonhound/
hound,american foxhound,https://www.akc.org/dog-breeds/american-foxhound/
hound,azawakh,https://www.akc.org/dog-breeds/azawakh/
hound,basenji,https://www.akc.org/dog-breeds/basenji/
hound,basset hound,https://www.akc.org/dog-breeds/basset-hound/
hound,beagle,https://www.akc.org/dog-breeds/beagle/
hound,black and tan coonhound,https://www.akc.org/dog-breeds/black-and-tan-coonhound/
hound,bloodhound,https://www.akc.org/dog-breeds/bloodhound/
hound,bluetick coonhound,https://www.akc.org/dog-breeds/bluetick-coonhound/
hound,borzoi,https://www.akc.org/dog-breeds/borzoi/
hound,cirneco dell’etna,https://www.akc.org/dog-breeds/cirneco-delletna/
hound,dachshund,https://www.akc.org/dog-breeds/dachshund/
hound,english foxhound,https://www.akc.org/dog-breeds/english-foxhound/
hound,grand basset griffon vendeen,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/
hound,greyhound,https://www.akc.org/dog-breeds/greyhound/
hound,harrier,https://www.akc.org/dog-breeds/harrier/
hound,ibizan hound,https://www.akc.org/dog-breeds/ibizan-hound/
hound,irish wolfhound,https://www.akc.org/dog-breeds/irish-wolfhound/
hound,norwegian elkhound,https://www.akc.org/dog-breeds/norwegian-elkhound/
hound,otterhound,https://www.akc.org/dog-breeds/otterhound/
hound,petit basset griffon vendeen,https://www.akc.org/dog-breeds/petit-basset-griffon-vendeen/
hound,pharaoh hound,https://www.akc.org/dog-breeds/pharaoh-hound/
hound,plott hound,https://www.akc.org/dog-breeds/plott/
hound,portuguese podengo pequeno,https://www.akc.org/dog-breeds/portuguese-podengo-pequeno/
hound,redbone coonhound,https://www.akc.org/dog-breeds/redbone-coonhound/
hound,rhodesian ridgeback,https://www.akc.org/dog-breeds/rhodesian-ridgeback/
hound,saluki,https://www.akc.org/dog-breeds/saluki/
hound,scottish deerhound,https://www.akc.org/dog-breeds/scottish-deerhound/
hound,sloughi,https://www.akc.org/dog-breeds/sloughi/
hound,treeing walker coonhound,https://www.akc.org/dog-breeds/treeing-walker-coonhound/
hound,whippet,https://www.akc.org/dog-breeds/whippet/
toy,affenpinscher,https://www.akc.org/dog-breeds/affenpinscher/
toy,biewer terrier,https://www.akc.org/dog-breeds/biewer-terrier/
toy,brussels griffon,https://www.akc.org/dog-breeds/brussels-griffon/
toy,cavalier king charles spaniel,https://www.akc.org/dog-breeds/cavalier-king-charles-spaniel/
toy,chihuahua,https://www.akc.org/dog-breeds/chihuahua/
toy,chinese crested,https://www.akc.org/dog-breeds/chinese-crested/
toy,english toy spaniel,https://www.akc.org/dog-breeds/english-toy-spaniel/
toy,havanese,https://www.akc.org/dog-breeds/havanese/
toy,italian greyhound,https://www.akc.org/dog-breeds/italian-greyhound/
toy,japanese chin,https://www.akc.org/dog-breeds/japanese-chin/
toy,maltese,https://www.akc.org/dog-breeds/maltese/
toy,manchester terrier,https://www.akc.org/dog-breeds/manchester-terrier/
toy,miniature pinscher,https://www.akc.org/dog-breeds/miniature-pinscher/
toy,papillon,https://www.akc.org/dog-breeds/papillon/
toy,pekingese,https://www.akc.org/dog-breeds/pekingese/
toy,pomeranian,https://www.akc.org/dog-breeds/pomeranian/
toy,poodle (toy),https://www.akc.org/dog-breeds/poodle/
toy,pug,https://www.akc.org/dog-breeds/pug/
toy,russian toy,https://www.akc.org/dog-breeds/russian-toy/
toy,shih tzu,https://www.akc.org/dog-breeds/shih-tzu/
toy,silky terrier,https://www.akc.org/dog-breeds/silky-terrier/
toy,toy fox terrier,https://www.akc.org/dog-breeds/toy-fox-terrier/
toy,yorkshire terrier,https://www.akc.org/dog-breeds/yorkshire-terrier/
non-sporting,american eskimo dog,https://www.akc.org/dog-breeds/american-eskimo-dog/
non-sporting,bichon frise,https://www.akc.org/dog-breeds/bichon-frise/
non-sporting,boston terrier,https://www.akc.org/dog-breeds/boston-terrier/
non-sporting,bulldog,https://www.akc.org/dog-breeds/bulldog/
non-sporting,chinese shar-pei,https://www.akc.org/dog-breeds/chinese-shar-pei/
non-sporting,chow chow,https://www.akc.org/dog-breeds/chow-chow/
non-sporting,coton de tulear,https://www.akc.org/dog-breeds/coton-de-tulear/
non-sporting,dalmatian,https://www.akc.org/dog-breeds/dalmatian/
non-sporting,finnish spitz,https://www.akc.org/dog-breeds/finnish-spitz/
