dog_breed,dog_breed_type_short,dog_breed_type,query_match
Affenpinscher,K,Kleinwüchsig,AFFENPINSCHER
Afghane,I,Rassentypenliste I,
Afghanischer Windhund,I,Rassentypenliste I,AFGHAN HOUND
Airedale Terrier,I,Rassentypenliste I,AIREDALE TERRIER
Akita Inu,I,Rassentypenliste I,
Alano,I,Rassentypenliste I,
Alaskan Malamute,I,Rassentypenliste I,ALASKAN MALAMUTE
Alpenländische Dachsbracke,K,Kleinwüchsig,ALPINE DACHSBRACKE
Altdeutscher Hütehund,I,Rassentypenliste I,
Altdeutscher Schäfer,I,Rassentypenliste I,
American Akita,I,Rassentypenliste I,AMERICAN AKITA
American Bulldog,I,Rassentypenliste I,BULLDOG
American Cocker Spaniel,K,Kleinwüchsig,AMERICAN COCKER SPANIEL
American Pit Bull Terrier,II,Rassentypenliste II,
American Pitbull Terrier,II,Rassentypenliste II,
American Staffordshire Terrier,II,Rassentypenliste II,AMERICAN STAFFORDSHIRE TERRIER
Anatolian Kangal,II,Rassentypenliste II,
Anatolischer Hirtenhund,I,Rassentypenliste I,
Appenzeller,I,Rassentypenliste I,APPENZELL CATTLE DOG
Appenzeller Sennenhund,I,Rassentypenliste I,APPENZELL CATTLE DOG
Australian Cattle Dog,I,Rassentypenliste I,AUSTRALIAN CATTLE DOG
Australian Shepherd,I,Rassentypenliste I,AUSTRALIAN SHEPHERD
Australian Silky Terrier,K,Kleinwüchsig,AUSTRALIAN SILKY TERRIER
Australian Terrier,K,Kleinwüchsig,AUSTRALIAN TERRIER
Australian working Kelpie,I,Rassentypenliste I,
Australien Kelpie,I,Rassentypenliste I,
Azawakh,I,Rassentypenliste I,AZAWAKH
Barbet,I,Rassentypenliste I,FRENCH WATER DOG
Bardino,K,Kleinwüchsig,
Barzoi,I,Rassentypenliste I,BORZOI - RUSSIAN HUNTING SIGHTHOUND
Basenji,K,Kleinwüchsig,BASENJI
Basset,K,Kleinwüchsig,ALPINE DACHSBRACKE
Basset Fauve de Bretagne,K,Kleinwüchsig,BASSET FAUVE DE BRETAGNE
Basset Griffon vendéen,I,Rassentypenliste I,
Bayerischer Gebirgsschweisshund,I,Rassentypenliste I,BAVARIAN MOUNTAIN SCENT HOUND
Beagle,K,Kleinwüchsig,BEAGLE
Bearded Collie,I,Rassentypenliste I,BEARDED COLLIE
Beauceron,I,Rassentypenliste I,BEAUCE SHEEPDOG
Beauceron Berge de Beauce,I,Rassentypenliste I,
Bedlington Terrier,K,Kleinwüchsig,BEDLINGTON TERRIER
Belgischer Schäfer,I,Rassentypenliste I,BELGIAN SHEPHERD DOG
Bergamasker,I,Rassentypenliste I,BERGAMASCO SHEPHERD DOG
Berger Picard,I,Rassentypenliste I,PICARDY SHEEPDOG
Berger blanc Suisse,I,Rassentypenliste I,WHITE SWISS SHEPHERD DOG
Berger de Beauce,I,Rassentypenliste I,BEAUCE SHEEPDOG
Berger de Brie,I,Rassentypenliste I,BRIARD
Berger des Pyrenées,I,Rassentypenliste I,
Berner Sennenhund,I,Rassentypenliste I,BERNESE MOUNTAIN DOG
Bernhardiner,I,Rassentypenliste I,ST. BERNARD
Bichon,K,Kleinwüchsig,BICHON FRISE
Bichon Havanais,K,Kleinwüchsig,HAVANESE
Bichon Löwenherz,K,Kleinwüchsig,
Bichon frisé,K,Kleinwüchsig,
Bichon maltais,K,Kleinwüchsig,MALTESE
Bichon à poil frisé,K,Kleinwüchsig,
Biewer Yorkshire Terrier,,,
Bluthund,I,Rassentypenliste I,BLOODHOUND
Bobtail,I,Rassentypenliste I,OLD ENGLISH SHEEPDOG
Bologneser,K,Kleinwüchsig,BOLOGNESE
Bolonka Zwetna,K,Kleinwüchsig,russian tsvetnaya bolonka
Bordeaux Dogge,I,Rassentypenliste I,
Border,I,Rassentypenliste I,BORDER COLLIE
Border Collie,I,Rassentypenliste I,BORDER COLLIE
Border Terrier,K,Kleinwüchsig,BORDER TERRIER
Boston Terrier,K,Kleinwüchsig,BOSTON TERRIER
Bouvier,I,Rassentypenliste I,APPENZELL CATTLE DOG
Boxer,I,Rassentypenliste I,BOXER
Boxer Terrier,I,Rassentypenliste I,
Braque,I,Rassentypenliste I,ITALIAN POINTING DOG
Breton,I,Rassentypenliste I,BRITTANY SPANIEL
Bretonischer Spaniel,I,Rassentypenliste I,BRITTANY SPANIEL
Briard,I,Rassentypenliste I,BRIARD
Broholmer,,,BROHOLMER
Bulgarischer,I,Rassentypenliste I,
Bulgarischer Sennenhund,I,Rassentypenliste I,
Bull Terrier,II,Rassentypenliste II,BULL TERRIER
Bulldog,I,Rassentypenliste I,FRENCH BULLDOG
Bullmastiff,I,Rassentypenliste I,BULLMASTIFF
Bullterrier,II,Rassentypenliste II,
Cairn Terrier,K,Kleinwüchsig,CAIRN TERRIER
Canaan Dog,I,Rassentypenliste I,CANAAN DOG
Cane Corso,I,Rassentypenliste I,ITALIAN CANE CORSO
Cattle Dog,I,Rassentypenliste I,APPENZELL CATTLE DOG
Cavalier King Charles Spaniel,K,Kleinwüchsig,CAVALIER KING CHARLES SPANIEL
Chesapeake Bay Retriever,I,Rassentypenliste I,CHESAPEAKE BAY RETRIEVER
Chihuahua,K,Kleinwüchsig,CHIHUAHUA
Chinese Crested,K,Kleinwüchsig,CHINESE CRESTED DOG
Chinese Crested Hairless Dog,K,Kleinwüchsig,
Chinese Crested Powderpuff,K,Kleinwüchsig,
Chinese Foo Dog,K,Kleinwüchsig,
Chinese Powder Puff,K,Kleinwüchsig,
Chodsky pes,I,Rassentypenliste I,BOHEMIAN SHEPHERD DOG
Chow Chow,I,Rassentypenliste I,CHOW CHOW
Cimarron Uruguayo,I,Rassentypenliste I,CIMARRÓN URUGUAYO
Cirneco dell'Etna,I,Rassentypenliste I,CIRNECO DELL'ETNA
Cocker Spaniel,K,Kleinwüchsig,AMERICAN COCKER SPANIEL
Collie,I,Rassentypenliste I,BEARDED COLLIE
Continental Bulldog,I,Rassentypenliste I,CONTINENTAL BULLDOG
Corgie,,,
Coton de Tulear,K,Kleinwüchsig,COTON DE TULEAR
Curly Coated Retriever,I,Rassentypenliste I,CURLY COATED RETRIEVER
Dachsbracke,K,Kleinwüchsig,ALPINE DACHSBRACKE
Dachshund,K,Kleinwüchsig,DACHSHUND
Dackel,K,Kleinwüchsig,
Daisy-Dog,,,
Dalmatiner,I,Rassentypenliste I,DALMATIAN
Danish-Swedish Farmdog,K,Kleinwüchsig,DANISH-SWEDISH FARMDOG
Deerhound,I,Rassentypenliste I,DEERHOUND
Deutsch Drahthaar,I,Rassentypenliste I,GERMAN WIRE- HAIRED POINTING DOG
Deutsche Dogge,I,Rassentypenliste I,GREAT DANE
Deutscher Boxer,I,Rassentypenliste I,BOXER
Deutscher Grossspitz,I,Rassentypenliste I,
Deutscher Jagdterrier,,,GERMAN HUNTING TERRIER
Deutscher Kurzhaar,I,Rassentypenliste I,
Deutscher Langhaarschäfer,I,Rassentypenliste I,
Deutscher Langhaarvorstehhund,I,Rassentypenliste I,
Deutscher Pinscher,I,Rassentypenliste I,GERMAN PINSCHER
Deutscher Schäfer,I,Rassentypenliste I,GERMAN SHEPHERD DOG
Deutscher Vorstehhund,I,Rassentypenliste I,
