owner_id,age,gender,district,city_quarter,breed1,breed1_mixed_breed,breed2,breed_type,dog_year_of_birth,gender_dog,dog_color,roster,first_appearance,appearances,dog_count,dog_age,dog_stage,age_group,age_range,breed1_std
126,51-60,m,9.0,92.0,Welsh Terrier,pure_breed,,K,2011,w,schwarz/braun,2015,2015,3,1,5,adult,51-60,50s,WELSH TERRIER
574,61-70,w,2.0,23.0,Cairn Terrier,pure_breed,,K,2002,w,brindle,2015,2015,3,1,14,senior,61-70,60s,CAIRN TERRIER
695,41-50,m,6.0,63.0,Labrador Retriever,pure_breed,,I,2012,w,braun,2015,2015,3,1,4,adult,41-50,40s,LABRADOR RETRIEVER
893,61-70,w,7.0,71.0,Mittelschnauzer,pure_breed,,I,2010,w,schwarz,2015,2015,3,1,6,adult,61-70,60s,GIANT SCHNAUZER
1177,51-60,m,10.0,102.0,Shih Tzu,pure_breed,,K,2011,m,schwarz/weiss,2015,2015,3,1,5,adult,51-60,50s,SHIH TZU
4004,61-70,w,3.0,34.0,Dackel,pure_breed,,K,2010,m,braun,2015,2015,3,1,6,adult,61-70,60s,DACHSHUND
4050,41-50,w,11.0,111.0,Bichon frisé,pure_breed,,K,2012,m,weiss,2015,2015,3,1,4,adult,41-50,40s,BICHON FRISE
4155,61-70,w,9.0,92.0,Zwergdackel,pure_breed,,K,2002,m,schwarz/grau,2015,2015,3,1,14,senior,61-70,60s,DACHSHUND
4203,41-50,w,2.0,21.0,Labrador Retriever,Mischling,Leonberger,I,2005,w,braun/schwarz,2015,2015,1,1,11,senior,41-50,40s,LABRADOR RETRIEVER
4215,41-50,w,8.0,81.0,Bergamasker,Mischling,,I,2004,w,schwarz,2015,2015,3,3,12,senior,41-50,40s,BERGAMASCO SHEPHERD DOG
4215,41-50,w,8.0,81.0,Border Collie,Mischling,,I,2001,m,schwarz,2015,2015,3,3,15,senior,41-50,40s,BORDER COLLIE
4215,41-50,w,8.0,81.0,Bergamasker,Mischling,,I,2001,w,grau/braun,2015,2015,3,3,15,senior,41-50,40s,BERGAMASCO SHEPHERD DOG
4239,61-70,w,10.0,102.0,Pinscher,Mischling,,K,2013,w,braun/schwarz,2015,2015,3,1,3,puppy,61-70,60s,AFFENPINSCHER
4261,71-80,w,7.0,71.0,Labrador Retriever,pure_breed,,I,2012,w,beige,2015,2015,3,1,4,adult,71+,70s,LABRADOR RETRIEVER
4281,61-70,w,9.0,91.0,Chihuahua,pure_breed,,K,2011,w,hellbraun,2015,2015,3,2,5,adult,61-70,60s,CHIHUAHUA
4281,61-70,w,9.0,91.0,Chihuahua,pure_breed,,K,2014,w,schwarz/weiss/braun,2015,2015,3,2,2,puppy,61-70,60s,CHIHUAHUA
4362,61-70,w,7.0,74.0,West Highland White Terrier,pure_breed,,K,2002,m,weiss,2015,2015,2,1,14,senior,61-70,60s,WEST HIGHLAND WHITE TERRIER
4726,51-60,m,5.0,52.0,Mischling klein,Mischling,,K,2007,m,schwarz,2015,2015,3,2,9,senior,51-60,50s,MISCHLING
4726,51-60,m,5.0,52.0,Golden Retriever,pure_breed,,I,2013,w,creme,2015,2015,3,2,3,puppy,51-60,50s,GOLDEN RETRIEVER
4786,41-50,m,3.0,34.0,Weimaraner,pure_breed,,I,2013,w,silber,2015,2015,3,1,3,puppy,41-50,40s,WEIMARANER
4801,51-60,m,4.0,42.0,Tibetan Spaniel,pure_breed,,K,2013,w,schwarz/braun,2015,2015,3,1,3,puppy,51-60,50s,TIBETAN SPANIEL
4880,51-60,m,5.0,52.0,Leonberger,pure_breed,,I,2011,m,goldbraun,2015,2015,3,1,5,adult,51-60,50s,LEONBERGER
4889,51-60,m,8.0,82.0,Shiba Inu,pure_breed,,K,2003,w,rotbraun,2015,2015,3,1,13,senior,51-60,50s,SHIBA
4908,51-60,m,5.0,51.0,Mischling klein,Mischling,,K,1999,w,hellbraun,2015,2015,1,2,17,senior,51-60,50s,MISCHLING
4908,51-60,m,5.0,51.0,Mischling klein,Mischling,,K,2000,m,schwarz/braun/weiss,2015,2015,1,2,16,senior,51-60,50s,MISCHLING
5088,51-60,m,7.0,72.0,Labrador Retriever,pure_breed,,I,2014,w,schwarz,2015,2015,3,1,2,puppy,51-60,50s,LABRADOR RETRIEVER
5113,51-60,m,11.0,119.0,Beagle,pure_breed,,K,2010,w,tricolor,2015,2015,3,1,6,adult,51-60,50s,BEAGLE
5225,61-70,m,3.0,34.0,Lagotto Romagnolo,pure_breed,,I,2007,m,braun,2015,2015,3,1,9,senior,61-70,60s,ROMAGNA WATER DOG
5227,61-70,m,10.0,101.0,Border Terrier,pure_breed,,K,2011,w,tricolor,2015,2015,3,1,5,adult,61-70,60s,BORDER TERRIER
5348,61-70,m,7.0,74.0,Magyar vizsla,pure_breed,,I,2005,w,gelb,2015,2015,3,1,11,senior,61-70,60s,HUNGARIAN WIRE-HAIRED POINTER
5361,61-70,m,7.0,74.0,Prager Rattler,pure_breed,,K,2000,w,schwarz/braun,2015,2015,2,1,16,senior,61-70,60s,PRAGUE RATTER
5406,51-60,m,6.0,61.0,Französische Bulldogge,pure_breed,,K,2013,m,weiss/schwarz,2015,2015,3,1,3,puppy,51-60,50s,FRENCH BULLDOG
6071,61-70,m,3.0,34.0,Cocker Spaniel,pure_breed,,K,2014,m,schwarz,2015,2015,3,1,2,puppy,61-70,60s,AMERICAN COCKER SPANIEL
6103,51-60,w,4.0,42.0,Zwergrauhaardackel,pure_breed,,K,2009,w,rot,2015,2015,2,1,7,adult,51-60,50s,DACHSHUND
6314,61-70,m,10.0,101.0,Jack Russel Terrier,pure_breed,,K,2005,w,tricolor,2015,2015,3,1,11,senior,61-70,60s,JACK RUSSELL TERRIER
6321,51-60,w,8.0,81.0,Mops,pure_breed,,K,2011,m,beige,2015,2015,3,1,5,adult,51-60,50s,PUG
6364,61-70,m,,,Appenzeller,Mischling,Border Collie,I,2013,m,tricolor,2015,2015,2,1,3,puppy,61-70,60s,APPENZELL CATTLE DOG
6469,41-50,m,11.0,111.0,Mops,pure_breed,,K,2011,m,beige,2015,2015,3,1,5,adult,41-50,40s,PUG
6594,51-60,m,7.0,72.0,Staffordshire Bull Terrier,pure_breed,,II,2005,w,mahagoni/weiss,2015,2015,3,1,11,senior,51-60,50s,STAFFORDSHIRE BULL TERRIER
6600,51-60,m,6.0,63.0,Mischling klein,Mischling,,K,2004,m,braun,2015,2015,3,1,12,senior,51-60,50s,MISCHLING
6617,61-70,w,12.0,122.0,Grosspudel,pure_breed,,I,2012,w,weiss,2015,2015,3,1,4,adult,61-70,60s,POODLE
6629,51-60,w,4.0,41.0,Spitz,Mischling,,K,1997,w,hellbraun,2015,2015,2,1,19,senior,51-60,50s,GERMAN SPITZ
