breed,link,translations,alt_names,no_accent,breed_en
AFFENPINSCHER,https://fci.be/en/nomenclature/AFFENPINSCHER-186.html,"['AFFENPINSCHER', 'AFFENPINSCHER', 'AFFENPINSCHER', 'AFFENPINSCHER']",['affenpinscher'],['affenpinscher'],AFFENPINSCHER
AFGHAN HOUND,https://fci.be/en/nomenclature/AFGHAN-HOUND-228.html,"['AFGHAN HOUND', 'LEVRIER AFGHAN', 'AFGHANISCHER WINDHUND', 'LEBREL AFGANO']","['afghanischer windhund', 'afghan hound', 'lebrel afgano', 'levrier afghan']","['afghanischer windhund', 'afghan hound', 'lebrel afgano', 'levrier afghan']",AFGHAN HOUND
AÏDI (CHIEN DE MONTAGNE DE L'ATLAS),https://fci.be/en/nomenclature/ATLAS-MOUNTAIN-DOG-AIDI-247.html,"['ATLAS MOUNTAIN DOG (AIDI)', ""CHIEN DE MONTAGNE DE L'ATLAS (AÏDI)"", 'ATLAS-BERGHUND (AÏDI)', 'PERRO DE MONTAÑA DEL ATLAS (AÏDI)']","['perro de montaña del atlas (aïdi)', ""aïdi (chien de montagne de l'atlas)"", 'atlas mountain dog (aidi)', 'atlas-berghund (aïdi)', ""chien de montagne de l'atlas (aïdi)""]","['perro de montana del atlas (aidi)', ""aidi (chien de montagne de l'atlas)"", 'atlas mountain dog (aidi)', 'atlas-berghund (aidi)', ""chien de montagne de l'atlas (aidi)""]",ATLAS MOUNTAIN DOG (AIDI)
AIREDALE TERRIER,https://fci.be/en/nomenclature/AIREDALE-TERRIER-7.html,"['AIREDALE TERRIER', 'AIREDALE TERRIER', 'AIREDALE TERRIER', 'AIREDALE TERRIER']",['airedale terrier'],['airedale terrier'],AIREDALE TERRIER
AKITA,https://fci.be/en/nomenclature/AKITA-255.html,"['AKITA', 'AKITA', 'AKITA', 'AKITA']",['akita'],['akita'],AKITA
ALASKAN MALAMUTE,https://fci.be/en/nomenclature/ALASKAN-MALAMUTE-243.html,"['ALASKAN MALAMUTE', ""MALAMUTE DE L'ALASKA"", 'ALASKAN MALAMUTE', 'MALAMUTE DE ALASKA']","['alaskan malamute', 'malamute de alaska', ""malamute de l'alaska""]","['alaskan malamute', 'malamute de alaska', ""malamute de l'alaska""]",ALASKAN MALAMUTE
ALPENLÄNDISCHE DACHSBRACKE,https://fci.be/en/nomenclature/ALPINE-DACHSBRACKE-254.html,"['ALPINE DACHSBRACKE', 'BASSET DES ALPES', 'ALPENLÄNDISCHE DACHSBRACKE', 'DACHSBRACKE DE LOS ALPES']","['basset des alpes', 'alpine dachsbracke', 'dachsbracke de los alpes', 'alpenländische dachsbracke']","['basset des alpes', 'alpine dachsbracke', 'dachsbracke de los alpes', 'alpenlandische dachsbracke']",ALPINE DACHSBRACKE
AMERICAN AKITA,https://fci.be/en/nomenclature/AMERICAN-AKITA-344.html,"['AMERICAN AKITA', 'AKITA AMERICAIN', 'AMERIKANISCHER AKITA', 'AKITA AMERICANO']","['akita americain', 'akita americano', 'american akita', 'amerikanischer akita']","['akita americain', 'akita americano', 'american akita', 'amerikanischer akita']",AMERICAN AKITA
AMERICAN COCKER SPANIEL,https://fci.be/en/nomenclature/AMERICAN-COCKER-SPANIEL-167.html,"['AMERICAN COCKER SPANIEL', 'COCKER AMÉRICAIN', 'AMERIKANISCHER COCKER SPANIEL', 'COCKER SPANIEL AMERICANO']","['american cocker spaniel', 'cocker spaniel americano', 'cocker américain', 'amerikanischer cocker spaniel']","['american cocker spaniel', 'cocker spaniel americano', 'cocker americain', 'amerikanischer cocker spaniel']",AMERICAN COCKER SPANIEL
AMERICAN FOXHOUND,https://fci.be/en/nomenclature/AMERICAN-FOXHOUND-303.html,"['AMERICAN FOXHOUND', 'AMERICAN FOXHOUND', 'AMERICAN FOXHOUND', 'AMERICAN FOXHOUND']",['american foxhound'],['american foxhound'],AMERICAN FOXHOUND
AMERICAN STAFFORDSHIRE TERRIER,https://fci.be/en/nomenclature/AMERICAN-STAFFORDSHIRE-TERRIER-286.html,"['AMERICAN STAFFORDSHIRE TERRIER', 'AMERICAN STAFFORDSHIRE TERRIER', 'AMERICAN STAFFORDSHIRE TERRIER', 'AMERICAN STAFFORDSHIRE TERRIER']",['american staffordshire terrier'],['american staffordshire terrier'],AMERICAN STAFFORDSHIRE TERRIER
AMERICAN WATER SPANIEL,https://fci.be/en/nomenclature/AMERICAN-WATER-SPANIEL-301.html,"['AMERICAN WATER SPANIEL', ""CHIEN D'EAU AMERICAIN"", 'AMERIKANISCHER WASSERSPANIEL', 'PERRO DE AGUA AMERICANO']","['amerikanischer wasserspaniel', 'american water spaniel', ""chien d'eau americain"", 'perro de agua americano']","['amerikanischer wasserspaniel', 'american water spaniel', ""chien d'eau americain"", 'perro de agua americano']",AMERICAN WATER SPANIEL
