breed,link,breed_orig,breed_en,weblink
BERNER SENNENHUND (45) (BERNESE MOUNTAIN DOG),/en/nomenclature/BERNESE-MOUNTAIN-DOG-45.html,berner sennenhund,bernese mountain dog,www.fci.be/en/nomenclature/BERNESE-MOUNTAIN-DOG-45.html
BOLOGNESE (196),/en/nomenclature/BOLOGNESE-196.html,bolognese,bolognese,www.fci.be/en/nomenclature/BOLOGNESE-196.html
CANAAN DOG (273),/en/nomenclature/CANAAN-DOG-273.html,canaan dog,canaan dog,www.fci.be/en/nomenclature/CANAAN-DOG-273.html
CESKÝ TERIER (246) (CESKY TERRIER),/en/nomenclature/CESKY-TERRIER-246.html,ceský terier,cesky terrier,www.fci.be/en/nomenclature/CESKY-TERRIER-246.html
CHIHUAHUEÑO (218) (CHIHUAHUA),/en/nomenclature/CHIHUAHUA-218.html,chihuahueño,chihuahua,www.fci.be/en/nomenclature/CHIHUAHUA-218.html
CIMARRÓN URUGUAYO (353),/en/nomenclature/CIMARRON-URUGUAYO-353.html,cimarrón uruguayo,cimarrón uruguayo,www.fci.be/en/nomenclature/CIMARRON-URUGUAYO-353.html
CIOBANESC ROMÂNESC DE BUCOVINA (357) (ROMANIAN BUCOVINA SHEPHERD),/en/nomenclature/ROMANIAN-BUCOVINA-SHEPHERD-357.html,ciobanesc românesc de bucovina,romanian bucovina shepherd,www.fci.be/en/nomenclature/ROMANIAN-BUCOVINA-SHEPHERD-357.html
DALMATINSKI PAS (153) (DALMATIAN),/en/nomenclature/DALMATIAN-153.html,dalmatinski pas,dalmatian,www.fci.be/en/nomenclature/DALMATIAN-153.html
DANSK-SVENSK GÅRDSHUND (356) (DANISH-SWEDISH FARMDOG),/en/nomenclature/DANISH-SWEDISH-FARMDOG-356.html,dansk-svensk gårdshund,danish-swedish farmdog,www.fci.be/en/nomenclature/DANISH-SWEDISH-FARMDOG-356.html
DOGO ARGENTINO (292),/en/nomenclature/DOGO-ARGENTINO-292.html,dogo argentino,dogo argentino,www.fci.be/en/nomenclature/DOGO-ARGENTINO-292.html
DOGUE DE BORDEAUX (116),/en/nomenclature/DOGUE-DE-BORDEAUX-116.html,dogue de bordeaux,dogue de bordeaux,www.fci.be/en/nomenclature/DOGUE-DE-BORDEAUX-116.html
FILA BRASILEIRO (225),/en/nomenclature/FILA-BRASILEIRO-225.html,fila brasileiro,fila brasileiro,www.fci.be/en/nomenclature/FILA-BRASILEIRO-225.html
HOLLANDSE HERDERSHOND (223) (DUTCH SHEPHERD DOG),/en/nomenclature/DUTCH-SHEPHERD-DOG-223.html,hollandse herdershond,dutch shepherd dog,www.fci.be/en/nomenclature/DUTCH-SHEPHERD-DOG-223.html
HRVATSKI OVCAR (277) (CROATIAN SHEPHERD DOG),/en/nomenclature/CROATIAN-SHEPHERD-DOG-277.html,hrvatski ovcar,croatian shepherd dog,www.fci.be/en/nomenclature/CROATIAN-SHEPHERD-DOG-277.html
