neighborhood,roster,district,sub_district,tax_status,median_income,lower_q_income,upper_q_income
Rathaus,2015,1,011,Basic tariff,49.8,21.0,87.1
Rathaus,2015,1,011,Married rate,123.2,76.8,192.3
Rathaus,2015,1,011,Single-parent family tariff,52.45,33.8,93.6
Hochschulen,2015,1,012,Basic tariff,34.7,12.1,75.9
Hochschulen,2015,1,012,Married rate,169.5,78.3,225.4
Hochschulen,2015,1,012,Single-parent family tariff,,,
Lindenhof,2015,1,013,Basic tariff,55.4,22.7,100.0
Lindenhof,2015,1,013,Married rate,116.55,64.85,202.1
Lindenhof,2015,1,013,Single-parent family tariff,,,
City,2015,1,014,Basic tariff,27.4,3.3,73.6
City,2015,1,014,Married rate,102.3,48.95,206.2
City,2015,1,014,Single-parent family tariff,,,
Wollishofen,2015,2,021,Basic tariff,43.8,19.8,68.6
Wollishofen,2015,2,021,Married rate,91.5,59.3,144.5
Wollishofen,2015,2,021,Single-parent family tariff,47.4,29.1,73.6
Leimbach,2015,2,023,Basic tariff,38.7,18.0,60.1
Leimbach,2015,2,023,Married rate,76.35,49.8,110.2
Leimbach,2015,2,023,Single-parent family tariff,42.1,15.1,60.1
Enge,2015,2,024,Basic tariff,59.3,28.6,100.0
Enge,2015,2,024,Married rate,127.4,73.6,214.8
Enge,2015,2,024,Single-parent family tariff,66.7,37.6,115.9
Alt-Wiedikon,2015,3,031,Basic tariff,51.7,26.9,78.9
Alt-Wiedikon,2015,3,031,Married rate,90.7,52.8,149.7
Alt-Wiedikon,2015,3,031,Single-parent family tariff,57.3,29.3,93.7
Friesenberg,2015,3,033,Basic tariff,32.4,12.2,52.9
Friesenberg,2015,3,033,Married rate,69.7,46.8,99.1
Friesenberg,2015,3,033,Single-parent family tariff,41.3,22.1,59.95
Sihlfeld,2015,3,034,Basic tariff,43.0,21.5,66.0
Sihlfeld,2015,3,034,Married rate,62.8,39.1,95.25
Sihlfeld,2015,3,034,Single-parent family tariff,37.2,17.6,57.6
Werd,2015,4,041,Basic tariff,46.95,21.2,74.4
Werd,2015,4,041,Married rate,70.85,33.45,127.85
Werd,2015,4,041,Single-parent family tariff,46.5,18.6,82.6
Langstrasse,2015,4,042,Basic tariff,42.6,18.0,70.1
Langstrasse,2015,4,042,Married rate,61.55,35.8,107.65
Langstrasse,2015,4,042,Single-parent family tariff,40.7,20.2,70.1
Hard,2015,4,044,Basic tariff,34.1,16.4,55.5
Hard,2015,4,044,Married rate,52.0,33.0,75.0
Hard,2015,4,044,Single-parent family tariff,30.5,13.8,46.9
Gewerbeschule,2015,5,051,Basic tariff,42.8,19.9,68.4
Gewerbeschule,2015,5,051,Married rate,65.6,41.5,102.5
Gewerbeschule,2015,5,051,Single-parent family tariff,48.0,30.6,70.3
Escher Wyss,2015,5,052,Basic tariff,64.6,36.4,97.3
Escher Wyss,2015,5,052,Married rate,119.9,78.7,189.3
Escher Wyss,2015,5,052,Single-parent family tariff,65.9,35.0,104.7
Unterstrass,2015,6,061,Basic tariff,46.2,22.1,72.7
Unterstrass,2015,6,061,Married rate,88.6,56.6,136.5
Unterstrass,2015,6,061,Single-parent family tariff,50.6,32.5,77.5
Oberstrass,2015,6,063,Basic tariff,50.08,21.8,83.7
Oberstrass,2015,6,063,Married rate,139.3,86.8,222.9
Oberstrass,2015,6,063,Single-parent family tariff,71.9,44.3,112.4
Fluntern,2015,7,071,Basic tariff,56.4,17.45,99.6
Fluntern,2015,7,071,Married rate,168.9,100.7,283.2
Fluntern,2015,7,071,Single-parent family tariff,89.0,44.9,153.5
Hottingen,2015,7,072,Basic tariff,53.7,22.3,90.2
Hottingen,2015,7,072,Married rate,143.1,89.5,242.5
Hottingen,2015,7,072,Single-parent family tariff,80.3,51.2,126.8
Hirslanden,2015,7,073,Basic tariff,50.15,20.9,82.0
Hirslanden,2015,7,073,Married rate,118.95,71.55,203.1
Hirslanden,2015,7,073,Single-parent family tariff,60.75,37.2,99.4
Witikon,2015,7,074,Basic tariff,44.3,19.95,70.65
Witikon,2015,7,074,Married rate,107.35,70.3,167.1
Witikon,2015,7,074,Single-parent family tariff,57.65,32.5,87.3
Seefeld,2015,8,081,Basic tariff,62.3,30.2,104.8
Seefeld,2015,8,081,Married rate,140.3,80.0,240.4
Seefeld,2015,8,081,Single-parent family tariff,71.4,44.8,120.5
Mühlebach,2015,8,082,Basic tariff,56.1,24.1,94.0
Mühlebach,2015,8,082,Married rate,127.95,81.25,210.95
Mühlebach,2015,8,082,Single-parent family tariff,58.1,35.65,89.8
Weinegg,2015,8,083,Basic tariff,45.95,15.9,75.005
Weinegg,2015,8,083,Married rate,114.7,71.6,187.2
Weinegg,2015,8,083,Single-parent family tariff,57.2,35.0,109.1
Albisrieden,2015,9,091,Basic tariff,42.1,21.5,63.4
Albisrieden,2015,9,091,Married rate,77.9,53.0,111.9
Albisrieden,2015,9,091,Single-parent family tariff,45.2,28.1,72.9
Altstetten,2015,9,092,Basic tariff,41.0,20.0,61.2
Altstetten,2015,9,092,Married rate,66.6,43.05,96.0
Altstetten,2015,9,092,Single-parent family tariff,35.0,17.5,56.1
Höngg,2015,10,101,Basic tariff,47.9,23.3,72.25
Höngg,2015,10,101,Married rate,95.5,63.9,143.3
Höngg,2015,10,101,Single-parent family tariff,54.2,30.1,81.5
Wipkingen,2015,10,102,Basic tariff,45.7,22.6,68.8
Wipkingen,2015,10,102,Married rate,79.5,51.65,124.55
Wipkingen,2015,10,102,Single-parent family tariff,49.85,30.0,74.1
Affoltern,2015,11,111,Basic tariff,38.4,18.0,58.5
Affoltern,2015,11,111,Married rate,71.8,47.4,100.9
Affoltern,2015,11,111,Single-parent family tariff,35.95,17.2,55.7
Oerlikon,2015,11,115,Basic tariff,45.0,20.6,70.1
Oerlikon,2015,11,115,Married rate,87.05,53.9,136.4
Oerlikon,2015,11,115,Single-parent family tariff,48.3,22.4,81.6
Seebach,2015,11,119,Basic tariff,38.9,18.0,60.1
Seebach,2015,11,119,Married rate,68.3,43.3,101.9
Seebach,2015,11,119,Single-parent family tariff,35.15,15.7,57.2
Saatlen,2015,12,121,Basic tariff,32.4,13.5,51.75
Saatlen,2015,12,121,Married rate,60.65,36.3,87.4
Saatlen,2015,12,121,Single-parent family tariff,34.9,17.8,50.4
Schwamendingen-Mitte,2015,12,122,Basic tariff,34.45,17.3,52.7
Schwamendingen-Mitte,2015,12,122,Married rate,58.3,36.2,83.4
Schwamendingen-Mitte,2015,12,122,Single-parent family tariff,28.4,10.0,45.3
Hirzenbach,2015,12,123,Basic tariff,30.8,12.6,48.6
Hirzenbach,2015,12,123,Married rate,58.1,37.8,80.8
Hirzenbach,2015,12,123,Single-parent family tariff,24.65,0.0,44.05
Rathaus,2016,1,011,Basic tariff,49.1,20.3,85.8
Rathaus,2016,1,011,Married rate,126.4,77.8,197.3
Rathaus,2016,1,011,Single-parent family tariff,60.2,30.4,98.4
Hochschulen,2016,1,012,Basic tariff,33.45,12.1,74.1
Hochschulen,2016,1,012,Married rate,172.05,85.6,245.8
Hochschulen,2016,1,012,Single-parent family tariff,,,
Lindenhof,2016,1,013,Basic tariff,53.9,20.2,100.4
Lindenhof,2016,1,013,Married rate,108.9,60.1,186.8
Lindenhof,2016,1,013,Single-parent family tariff,,,
City,2016,1,014,Basic tariff,26.1,1.0,70.3
City,2016,1,014,Married rate,103.3,52.1,194.9
City,2016,1,014,Single-parent family tariff,,,
Wollishofen,2016,2,021,Basic tariff,43.1,19.0,68.6
